Date,Name,Year,Letterboxd URI
2022-05-22,The Shawshank Redemption,1994,https://boxd.it/2aHi
2022-05-22,Parasite,2019,https://boxd.it/hTha
2022-05-22,The Godfather,1972,https://boxd.it/2aNK
2022-05-22,Inception,2010,https://boxd.it/1skk
2022-05-22,The Worst Person in the World,2021,https://boxd.it/oyws
2022-05-22,Blade Runner 2049,2017,https://boxd.it/b8wK
2022-05-22,Nomadland,2020,https://boxd.it/lnRy
2022-05-22,Fallen Angels,1995,https://boxd.it/1UkW
2022-05-22,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2022-05-22,Late Spring,1949,https://boxd.it/1DkK
2022-05-22,A Brighter Summer Day,1991,https://boxd.it/1Luy
2022-05-22,The Godfather Part II,1974,https://boxd.it/2aNq
2022-05-22,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM
2022-05-22,Your Name.,2016,https://boxd.it/cUqs
2022-06-08,Yi Yi,2000,https://boxd.it/1vCw
2022-06-22,Twin Peaks,1989,https://boxd.it/g8pk
2022-07-14,Blade Runner,1982,https://boxd.it/2bcA
2022-07-18,A Silent Voice: The Movie,2016,https://boxd.it/d99c
2022-07-25,Fight Club,1999,https://boxd.it/2a9q
2022-08-03,Se7en,1995,https://boxd.it/29zs
2022-10-20,The Social Network,2010,https://boxd.it/17ue
2023-03-03,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M
2023-03-09,The Fabelmans,2022,https://boxd.it/ugoM
2023-03-28,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA
2023-11-06,Farewell My Concubine,1993,https://boxd.it/1UTM
2023-11-06,Asteroid City,2023,https://boxd.it/s3ds
2023-11-06,Memories of Murder,2003,https://boxd.it/1TSo
2023-11-06,Reply 1988,2015,https://boxd.it/uF9i
2023-11-06,Chungking Express,1994,https://boxd.it/1UDa
2023-11-24,La La Land,2016,https://boxd.it/a5fa
2024-02-15,jeen-yuhs: A Kanye Trilogy,2022,https://boxd.it/z7pG
2024-02-18,The Last Dance,2020,https://boxd.it/pVfc
2024-02-22,Oldboy,2003,https://boxd.it/29R2
2024-03-07,Dune: Part Two,2024,https://boxd.it/pUfA
2024-08-13,Dìdi (弟弟),2024,https://boxd.it/HQOW
2024-11-08,Decision to Leave,2022,https://boxd.it/qp9e
2024-11-12,Burning,2018,https://boxd.it/hHUa
2024-11-17,Lady Vengeance,2005,https://boxd.it/248G
2024-11-18,The Handmaiden,2016,https://boxd.it/948A
2024-11-18,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU
2024-11-20,Cure,1997,https://boxd.it/1blA
2024-12-01,Fireworks,1997,https://boxd.it/22mQ
2024-12-02,A Clockwork Orange,1971,https://boxd.it/2aVE
2024-12-03,Days of Heaven,1978,https://boxd.it/1JRg
2024-12-06,Evil Does Not Exist,2023,https://boxd.it/HJrc
2024-12-07,Flowers of Shanghai,1998,https://boxd.it/Omq
2024-12-19,Sonatine,1993,https://boxd.it/20TI
2024-12-22,Tokyo Fist,1995,https://boxd.it/Z2m
2024-12-22,Stalker,1979,https://boxd.it/28PO
2024-12-22,The Pianist,2002,https://boxd.it/2aqc
2024-12-22,Mirror,1975,https://boxd.it/28Q8
2024-12-24,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM
2024-12-25,Planet Earth,2006,https://boxd.it/5Nx8
2024-12-27,Suzhou River,2000,https://boxd.it/1Tsq
2024-12-27,To Live,1994,https://boxd.it/1j6S
